"","A X4x12","A X3x13","A X4x14","A X6x12","A X5x13","A X7x11","A X3x10","A X4x13","A X2x13","A X5x14","A X8x10","A X3x14","A X5x12","B X15x19","B X17x10","B X18x8","B X15x20","B X16x19","B X20x22","B X15x18","B X19x9","B X18x9","B X18x7","B X15x17","C X15x4","C X16x7","C X18x5","C X19x6","C X15x6","C X16x2","C X14x2","C X16x4","C X18x6","C X15x2","C X17x2","D X17x20","D X10x7","D X15x4","D X8x12","D X9x9","D X11x15","D X14x8","D X12x8","D X4x12","D X3x17","D X16x7","D X6x14","D X17x6","D X18x5","D X10x9","D X11x4","D X12x7","D X13x6","D X4x17","D X8x7","D X9x6","D X10x5","D X11x8","D X14x7","D X15x6","D X7x16","D X8x14","D X10x12","D X12x10","D X13x11","D X3x13","D X4x14","D X5x15","D X6x12","D X9x15","D X11x6","D X8x2","D X9x3","D X14x2","D X7x15","D X6x16","D X8x9","D X9x4","D X10x3","D X11x10","D X14x5","D X12x13","D X6x11","D X18x6","D X9x13","D X10x10","D X11x3","D X12x4","D X15x9","D X13x9","D X3x15","D X5x13","D X7x11","D X12x3","D X13x2","D X5x16","D X16x8","D X19x5","D X17x21","D X10x6","D X15x5","D X8x11","D X9x10","D X11x12","D X12x15","D X15x2","D X16x6","D X17x7","D X7x12","D X10x8","D X11x5","D X12x6","D X13x7","D X13x4","D X5x11","D X4x16","D X9x7","D X10x4","D X11x9","D X14x6","D X15x7","D X9x12","D X7x17","D X8x13","D X9x8","D X10x15","D X11x14","D X14x9","D X12x9","D X4x13","D X3x16","D X6x15","D X17x5","D X7x14","D X11x7","D X13x5","D X4x18","D X8x8","D X9x5","D X11x11","D X14x4","D X12x12","D X8x15","D X9x14","D X10x13","D X9x16","D X12x11","D X13x10","D X3x12","D X4x15","D X5x14","D X3x18","D X6x13","D X12x2","D X13x3","D X5x17","D X20x5","D X8x3","D X9x2","D X14x3","D X6x17","D X8x10","D X9x11","D X8x16","D X11x13","D X14x10","D X16x5","D X7x13","D X10x11","D X11x2","D X12x5","D X15x8","D X13x8","D X3x14","D X5x12","E X18x10","E X14x7","E X16x17","E X16x8","E X19x10","E X20x13","E X11x12","E X18x11","E X22x13","E X22x14","E X13x15","E X16x18","F X22x19","F X24x14","F X25x15","F X28x10","F X19x13","F X17x13","F X20x14","F X23x19","F X21x15","F X25x16","F X15x13","F X17x6","F X18x5","F X21x17","F X16x11","F X17x10","F X22x17","F X24x16","F X25x13","F X19x15","F X18x8","F X21x13","F X14x14","F X15x15","F X16x13","F X19x8","F X17x8","F X24x18","F X19x17","F X18x6","F X18x12","F X14x12","F X20x17","F X19x5","F X22x18","F X24x13","F X26x15","F X16x15","F X17x14","F X20x13","F X18x13","F X23x16","F X22x15","F X23x14","F X25x17","F X16x6","F X17x7","F X21x18","F X15x16","F X17x11","F X22x16","F X18x16","F X24x15","F X25x14","F X26x13","F X19x12","F X17x12","F X20x15","F X23x18","F X21x14","F X15x12","F X17x5","F X21x16","F X16x12","F X18x14","F X23x13","F X24x17","F X19x14","F X21x12","F X14x15","F X15x14","F X20x16","F X26x14","F X16x14","F X17x15","F X20x12","F X23x17","F X22x14","F X18x15","F X23x15","F X24x19","F X16x5","F X19x16","F X18x7","F X14x13","F X26x16","F X23x20"
"SEC62 ENSG00000008952",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,2,0,0,0,0,5,2,0,10,0,1,0,0,0,0,0,1,0,0,5,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0,7,0,1,0,0,0,0,2,0,0,0,0,0,1,1,5,0,0,1,0,0,0,4,0,1,2,0,0,1,3,0,0,1,0,0,1,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF207 ENSG00000010244",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,11,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,3,0,0,0,0,7,19,1,0,0,0,1,0,1,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,1,0,0,0,1,0,0,3,0,0,2,2,1,0,1,1,0,0,0,1,2,4,6,5,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,3,1,8,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"GGA2 ENSG00000103365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,3,5,0,0,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,6,0,0,4,8,1,1,0,2,0,0,0,0,0,0,0,2,4,3,0,0,4,0,1,0,1,2,0,2,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,6,0,6,3,0,2,0,0,0,0,0,3,7,0,0,5,0,2,0,2,0,0,4,0,0,5,1,0,0,1,0,0,0,0,6,2,3,0,0,0,5,0,0,1,0,0,0,4,1,0,1,0,0,5,4,0,0,0,3,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,3,5,1,0,8,2,7,4,11,0,3,0,8,1,12,1,0,7,0,10,0,2,10,15,1,0,2,2,6,10,5,0,0,0,6,1,8,0,1,0,0,10,1,5,8,0,1,3,6,0,1,0,1,7,0,0,0,0,29,0,10,12,0,1,0,0,0,1,0,0,0,5,3,3,0,0,0,9,0,1,0,0,4,2,2
"C5orf15 ENSG00000113583",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,18,0,0,0,0,13,0,0,4,7,0,4,1,0,0,0,0,0,5,0,0,9,0,0,11,4,0,1,0,0,3,17,0,0,5,13,0,8,0,0,0,0,10,0,15,0,0,0,17,7,0,0,0,3,0,0,0,0,0,2,0,3,0,4,2,3,0,0,0,6,0,0,0,0,0,10,0,10,8,0,0,0,9,12,0,0,0,3,0,1,4,0,0,3,0,0,0,0,1,0,6,3,0,3,20,0,0,0,0,8,1,1,12,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,11,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,5,0,1,1,0,29,6,0,0,4,0,0,3,0,0,0,7,0,1,0,4,1,3,6,1,0,0,0,0,0,0,2,0,14,0,0,0,7,0,0,6,9,0,0,6,3,0,8,2,0,0,0,0,0,14,19,8,12,8,3,5,0,0,0,0,0,1,2,0,6,0,14,1,3,21,1,13,0,2,0,2,0
"ODC1 ENSG00000115758",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,8,4,2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,35,0,6,0,7,2,0,0,0,18,0,11,1,0,0,0,6,0,1,6,2,0,0,0,0,0,1,2,2,1,6,0,0,0,2,1,7,14,0,4,0,0,9,0,0,0,2,0,0,4,2,0,1,2,3,0,1,0,3,4,3,0,0,20,4,0,0,24,0,0,0,6,0,0,4,6,0,7,1,0,0,3,1,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,4,1,8,0,0,4,5,0,0,0,0,0,0,0,0,0,4,7,4,0,6,0,0,3,3,4,7,14,0,3,21,0,2,1,3,0,4,23,3,5,9,0,4,30,1,2,3,1,13,2,0,1,15,0,18,4,5,17,20,0,6,11,3,0,3,11,95,2,1,1,0,0,12,0,3,17,46,10,17,13,46,6,5,7,6,0,0,21,0,0,26,7,7,15,7,29,11,7,6,2,0,0,6
"EGR1 ENSG00000120738",7,1,14,1,1,23,12,0,0,7,1,1,5,1,0,0,5,0,1,2,4,0,3,0,4,2,0,2,2,6,0,12,0,1,7,5,2,8,0,8,15,14,2,1,5,12,5,2,2,1,2,18,3,0,1,6,1,2,4,22,1,6,8,11,3,16,12,6,20,8,4,9,13,1,3,1,13,0,8,26,6,1,27,1,3,7,1,8,6,2,5,12,22,19,0,1,9,0,7,15,11,15,6,11,6,0,4,8,25,0,9,9,5,4,8,6,3,10,2,5,30,43,17,3,27,2,0,1,9,11,0,7,10,19,22,0,7,13,2,8,15,2,2,9,3,4,19,1,4,32,4,2,1,1,5,8,4,0,6,8,8,4,38,10,1,0,17,11,26,3,36,2,17,1,12,6,0,0,2,3,2,3,0,1,0,18,0,3,33,20,10,14,8,68,7,44,7,79,9,14,8,114,10,5,16,7,4,13,65,7,6,92,11,17,23,6,16,31,51,17,13,6,18,28,40,107,35,17,12,76,12,3,13,87,16,23,25,43,19,11,9,0,5,21,8,12,44,70,36,33,75,117,53,26,25,28,4,4,31,7,15,18,15,27,4,27,47,14,24,9,2,6,10,1
"BRD4 ENSG00000141867",0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,1,9,0,6,0,0,0,0,2,0,0,0,0,0,0,0,5,0,14,2,0,0,6,1,3,0,0,0,8,2,0,1,0,0,3,0,0,3,0,0,0,0,5,0,4,0,0,0,12,0,12,0,0,0,17,5,0,2,0,5,2,1,2,7,2,0,6,0,8,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,1,1,0,2,3,0,0,1,0,2,4,0,5,0,17,0,0,9,0,2,0,0,0,6,1,0,0,0,5,0,0,0,0,11,0,12,2,1,0,1,0,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,19,14,2,0,9,0,0,10,0,0,0,10,3,0,12,5,1,1,0,0,3,8,8,0,3,0,2,1,0,12,1,0,1,0,4,0,0,1,2,0,10,0,3,0,0,0,1,0,1,1,12,1,1,3,5,0,5,5,0,0,0,0,0,0,0,1,5,2,0,4,0,4,1,1,0,0,4
"PEA15 ENSG00000162734",0,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,12,1,1,0,0,0,0,2,2,0,3,2,0,0,9,0,3,0,3,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,1,3,8,4,2,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,5,0,5,0,1,0,22,0,0,7,0,2,5,1,1,2,1,0,1,2,3,1,2,1,0,0,6,0,0,3,0,2,5,1,1,1,0,0,0,0,0,0,6,0,0,0,0,3,7,2,0,1,0,0,0,0,4,0,0,0,18,0,0,0,3,0,0,0,10,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,1,0,3,0,4,0,16,0,0,0,0,0,0,3,1,0,4,0,3,0,5,0,5,1,10,0,0,0,7,0,0,0,1,0,9,3,3,1,6,2,4,6,1,0,0,1,0,0,0,0,0,0,7,0,6,12,6,1,0,5,0,0,0,3,0,2,12,2,0,0,5,8,4,4,0,0,1,0,1
"STAT6 ENSG00000166888",1,0,7,0,8,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,5,0,0,4,2,0,0,0,2,0,0,0,2,0,1,10,0,0,5,0,3,0,15,0,5,1,6,4,2,3,0,1,0,0,2,1,0,2,8,0,0,1,10,5,0,0,4,0,3,0,4,0,0,0,2,0,3,0,0,2,1,0,2,0,1,0,0,1,0,0,2,0,0,3,1,0,0,2,13,1,3,0,1,16,0,0,0,0,3,0,2,4,0,0,1,1,2,8,12,0,2,5,0,2,0,0,17,3,1,0,0,1,8,0,0,2,1,8,0,9,0,0,0,0,2,1,0,9,1,6,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,9,10,0,10,5,7,0,10,2,19,3,0,0,21,0,7,7,0,0,0,16,0,0,9,0,1,9,4,13,7,11,3,0,12,0,0,3,15,0,8,3,9,7,0,0,18,2,3,15,9,7,6,2,0,0,6,3,0,5,13,12,13,21,10,10,0,4,2,0,0,20,3,4,18,0,2,0,4,15,4,4,13,3,0,2,6
"HSPA4 ENSG00000170606",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,1,0,0,0,4,7,2,0,0,0,0,0,9,0,1,1,2,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,6,0,0,0,0,1,1,1,1,1,5,1,0,0,0,0,2,1,0,0,5,4,0,4,2,0,0,3,5,0,1,0,1,0,0,1,2,0,0,3,15,0,0,2,6,0,0,5,0,0,0,2,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,3,0,6,1,0,0,5,1,0,6,1,0,3,2,0,0,4,1,0,1,0,0,2,2,0,0,0,2,2,1,5,1,4,0,0,1,3,2,3,0,1,1,0,0,6,3,1,1,12,16,2,1,0,0,4,0,2,0,9,1,0,0,0,3,0,5,0,0,0,0,0,3
