,image.name,spot.coordinates,cellCount
1,P1.3,A X4x12,30
2,P1.3,A X3x13,54
3,P1.3,A X4x14,75
4,P1.3,A X6x12,81
5,P1.3,A X5x13,96
6,P1.3,A X7x11,27
7,P1.3,A X3x10,28
8,P1.3,A X4x13,66
9,P1.3,A X2x13,61
10,P1.3,A X5x14,81
11,P1.3,A X8x10,39
12,P1.3,A X3x14,21
13,P1.3,A X5x12,87
14,P2.4,B X15x19,49
15,P2.4,B X17x10,75
16,P2.4,B X18x8,46
17,P2.4,B X15x20,80
18,P2.4,B X16x19,62
19,P2.4,B X20x22,54
20,P2.4,B X15x18,178
21,P2.4,B X19x9,83
22,P2.4,B X18x9,44
23,P2.4,B X18x7,27
24,P2.4,B X15x17,135
25,P2.3,C X15x4,113
26,P2.3,C X16x7,97
27,P2.3,C X18x5,34
28,P2.3,C X19x6,120
29,P2.3,C X15x6,90
30,P2.3,C X16x2,27
31,P2.3,C X14x2,33
32,P2.3,C X16x4,85
33,P2.3,C X18x6,48
34,P2.3,C X15x2,77
35,P2.3,C X17x2,82
36,P3.1,D X17x20,42
37,P3.1,D X10x7,76
38,P3.1,D X15x4,97
39,P3.1,D X8x12,54
40,P3.1,D X9x9,79
41,P3.1,D X11x15,118
42,P3.1,D X14x8,71
43,P3.1,D X12x8,25
44,P3.1,D X4x12,11
45,P3.1,D X3x17,29
46,P3.1,D X16x7,68
47,P3.1,D X6x14,82
48,P3.1,D X17x6,48
49,P3.1,D X18x5,95
50,P3.1,D X10x9,83
51,P3.1,D X11x4,38
52,P3.1,D X12x7,51
53,P3.1,D X13x6,80
54,P3.1,D X4x17,17
55,P3.1,D X8x7,75
56,P3.1,D X9x6,135
57,P3.1,D X10x5,64
58,P3.1,D X11x8,119
59,P3.1,D X14x7,13
60,P3.1,D X15x6,86
61,P3.1,D X7x16,56
62,P3.1,D X8x14,116
63,P3.1,D X10x12,104
64,P3.1,D X12x10,80
65,P3.1,D X13x11,84
66,P3.1,D X3x13,131
67,P3.1,D X4x14,116
68,P3.1,D X5x15,72
69,P3.1,D X6x12,109
