,X,spots,cellCount
1,1,X29xx1,11
2,2,X31xx1,4
3,3,X32xx0,3
4,4,X23xx3,14
5,5,X28xx2,9
6,6,X39xx3,14
7,7,X41xx3,12
8,8,X43xx3,10
9,9,X44xx2,14
10,10,X45xx3,8
11,11,X47xx3,7
12,12,X48xx2,11
13,13,X49xx3,11
14,14,X51xx3,13
15,15,X53xx3,13
16,16,X55xx3,13
17,17,X57xx3,13
18,18,X17xx5,14
19,19,X18xx4,12
20,20,X19xx5,12
21,21,X21xx5,11
22,22,X22xx4,13
23,23,X23xx5,12
24,24,X24xx4,10
25,25,X25xx5,11
26,26,X27xx5,10
27,27,X29xx5,12
28,28,X31xx5,11
29,29,X33xx5,9
30,30,X35xx5,10
31,31,X36xx4,13
32,32,X37xx5,11
33,33,X38xx4,13
34,34,X39xx5,13
35,35,X40xx4,12
36,36,X41xx5,8
37,37,X42xx4,10
38,38,X43xx5,10
39,39,X44xx4,12
40,40,X45xx5,8
41,41,X46xx4,12
42,42,X47xx5,13
43,43,X48xx4,9
44,44,X49xx5,11
45,45,X50xx4,9
46,46,X51xx5,11
47,47,X52xx4,10
48,48,X53xx5,8
49,49,X54xx4,9
50,50,X55xx5,9
51,51,X56xx4,12
52,52,X57xx5,8
53,53,X58xx4,8
54,54,X59xx5,12
55,55,X60xx4,10
56,56,X61xx5,10
57,57,X62xx4,15
58,58,X63xx5,10
59,59,X64xx4,11
60,60,X65xx5,11
61,61,X66xx4,11
62,62,X67xx5,9
63,63,X69xx5,7
64,64,X71xx5,6
65,65,X17xx7,8
66,66,X18xx6,10
67,67,X19xx7,14
68,68,X20xx6,11
69,69,X21xx7,8
70,70,X22xx6,10
71,71,X23xx7,12
72,72,X24xx6,12
73,73,X25xx7,12
74,74,X26xx6,7
75,75,X27xx7,13
76,76,X28xx6,8
77,77,X29xx7,10
78,78,X30xx6,11
79,79,X31xx7,13
80,80,X32xx6,8
81,81,X33xx7,12
82,82,X34xx6,10
83,83,X35xx7,12
84,84,X36xx6,10
85,85,X37xx7,12
86,86,X38xx6,11
87,87,X39xx7,11
88,88,X40xx6,13
89,89,X41xx7,6
90,90,X42xx6,10
91,91,X43xx7,9
92,92,X44xx6,7
93,93,X45xx7,9
94,94,X46xx6,8
95,95,X47xx7,12
96,96,X48xx6,13
97,97,X49xx7,11
98,98,X50xx6,11
99,99,X51xx7,14
100,100,X52xx6,8
