image name, spot coordinates, no of nuclei
Seurat,11x97,5 nuclei
Seurat,11x99,10 nuclei
Seurat,11x101,8 nuclei
Seurat,11x103,7 nuclei
Seurat,11x105,4 nuclei
Seurat,11x107,8 nuclei
Seurat,11x109,13 nuclei
Seurat,10x110,15 nuclei
Seurat,11x111,16 nuclei
Seurat,10x112,20 nuclei
Seurat,11x113,8 nuclei
Seurat,11x115,8 nuclei
Seurat,11x117,3 nuclei
Seurat,13x87,8 nuclei
Seurat,12x88,7 nuclei
Seurat,13x89,6 nuclei
Seurat,12x90,8 nuclei
Seurat,13x91,10 nuclei
Seurat,12x92,4 nuclei
Seurat,13x93,14 nuclei
Seurat,12x94,15 nuclei
Seurat,13x95,11 nuclei
Seurat,12x96,6 nuclei
Seurat,13x97,9 nuclei
Seurat,12x98,5 nuclei
Seurat,13x99,13 nuclei
Seurat,12x100,13 nuclei
Seurat,13x101,14 nuclei
Seurat,12x102,14 nuclei
Seurat,13x103,9 nuclei
Seurat,12x104,2 nuclei
Seurat,13x105,13 nuclei
Seurat,12x106,12 nuclei
Seurat,13x107,13 nuclei
Seurat,12x108,0 nuclei
Seurat,13x109,13 nuclei
Seurat,12x110,6 nuclei
Seurat,13x111,8 nuclei
Seurat,12x112,11 nuclei
Seurat,13x113,8 nuclei
Seurat,12x114,10 nuclei
Seurat,13x115,17 nuclei
Seurat,15x75,4 nuclei
Seurat,15x77,5 nuclei
Seurat,15x79,4 nuclei
Seurat,15x81,13 nuclei
Seurat,14x82,7 nuclei
Seurat,15x83,9 nuclei
Seurat,14x84,6 nuclei
Seurat,15x85,7 nuclei
Seurat,14x86,9 nuclei
Seurat,15x87,11 nuclei
Seurat,14x88,13 nuclei
Seurat,15x89,13 nuclei
Seurat,14x90,10 nuclei
Seurat,15x91,10 nuclei
Seurat,14x92,10 nuclei
Seurat,15x93,11 nuclei
Seurat,14x94,8 nuclei
Seurat,15x95,15 nuclei
Seurat,14x96,12 nuclei
Seurat,15x97,9 nuclei
Seurat,14x98,14 nuclei
Seurat,15x99,7 nuclei
Seurat,14x100,10 nuclei
Seurat,15x101,9 nuclei
Seurat,14x102,11 nuclei
Seurat,15x103,13 nuclei
Seurat,14x104,14 nuclei
Seurat,15x105,13 nuclei
Seurat,14x106,10 nuclei
Seurat,15x107,9 nuclei
Seurat,14x108,8 nuclei
Seurat,15x109,14 nuclei
Seurat,14x110,12 nuclei
Seurat,15x111,12 nuclei
Seurat,14x112,12 nuclei
Seurat,15x113,7 nuclei
Seurat,14x114,15 nuclei
Seurat,15x115,4 nuclei
Seurat,14x116,5 nuclei
Seurat,17x63,3 nuclei
Seurat,17x65,6 nuclei
Seurat,17x67,12 nuclei
Seurat,17x69,8 nuclei
Seurat,16x70,10 nuclei
Seurat,17x71,10 nuclei
Seurat,16x72,2 nuclei
Seurat,17x73,12 nuclei
Seurat,16x74,8 nuclei
Seurat,17x75,10 nuclei
Seurat,16x76,9 nuclei
Seurat,17x77,11 nuclei
Seurat,16x78,8 nuclei
Seurat,17x79,13 nuclei
Seurat,16x80,11 nuclei
Seurat,17x81,15 nuclei
Seurat,16x82,11 nuclei
Seurat,17x83,11 nuclei
Seurat,16x84,9 nuclei
Seurat,17x85,11 nuclei
Seurat,16x86,15 nuclei
Seurat,17x87,11 nuclei
Seurat,16x88,11 nuclei
Seurat,17x89,10 nuclei
Seurat,16x90,12 nuclei
Seurat,17x91,11 nuclei
Seurat,16x92,9 nuclei
Seurat,17x93,11 nuclei
Seurat,16x94,14 nuclei
Seurat,17x95,12 nuclei
Seurat,16x96,14 nuclei
Seurat,17x97,15 nuclei
Seurat,16x98,14 nuclei
Seurat,17x99,9 nuclei
Seurat,16x100,13 nuclei
Seurat,17x101,7 nuclei
Seurat,16x102,13 nuclei
Seurat,17x103,11 nuclei
Seurat,16x104,14 nuclei
Seurat,17x105,15 nuclei
Seurat,16x106,14 nuclei
Seurat,17x107,14 nuclei
Seurat,16x108,14 nuclei
Seurat,17x109,12 nuclei
Seurat,16x110,15 nuclei
Seurat,17x111,8 nuclei
Seurat,16x112,14 nuclei
Seurat,17x113,15 nuclei
Seurat,16x114,17 nuclei
Seurat,17x115,22 nuclei
Seurat,16x116,1 nucleus
Seurat,19x55,4 nuclei
Seurat,19x57,7 nuclei
Seurat,18x58,8 nuclei
Seurat,19x59,7 nuclei
Seurat,18x60,5 nuclei
Seurat,19x61,6 nuclei
Seurat,18x62,9 nuclei
Seurat,19x63,10 nuclei
Seurat,18x64,6 nuclei
Seurat,19x65,8 nuclei
Seurat,18x66,7 nuclei
Seurat,19x67,9 nuclei
Seurat,18x68,8 nuclei
Seurat,19x69,9 nuclei
Seurat,18x70,9 nuclei
Seurat,19x71,11 nuclei
Seurat,18x72,8 nuclei
Seurat,19x73,10 nuclei
Seurat,18x74,10 nuclei
Seurat,19x75,11 nuclei
Seurat,18x76,10 nuclei
Seurat,19x77,12 nuclei
Seurat,18x78,8 nuclei
Seurat,19x79,7 nuclei
Seurat,18x80,9 nuclei
Seurat,19x81,8 nuclei
Seurat,18x82,9 nuclei
Seurat,19x83,11 nuclei
Seurat,18x84,10 nuclei
Seurat,19x85,8 nuclei
Seurat,18x86,12 nuclei
Seurat,19x87,17 nuclei
Seurat,18x88,16 nuclei
Seurat,19x89,10 nuclei
Seurat,18x90,8 nuclei
Seurat,19x91,12 nuclei
Seurat,18x92,8 nuclei
Seurat,19x93,10 nuclei
Seurat,18x94,11 nuclei
Seurat,19x95,11 nuclei
Seurat,18x96,10 nuclei
Seurat,19x97,12 nuclei
Seurat,18x98,10 nuclei
Seurat,19x99,16 nuclei
Seurat,18x100,13 nuclei
Seurat,19x101,11 nuclei
Seurat,18x102,9 nuclei
Seurat,19x103,11 nuclei
Seurat,18x104,12 nuclei
Seurat,19x105,13 nuclei
Seurat,18x106,13 nuclei
Seurat,19x107,10 nuclei
Seurat,18x108,14 nuclei
Seurat,19x109,8 nuclei
Seurat,18x110,9 nuclei
Seurat,19x111,9 nuclei
Seurat,18x112,10 nuclei
Seurat,19x113,12 nuclei
Seurat,18x114,0 nuclei
Seurat,19x115,0 nuclei
Seurat,21x47,3 nuclei
Seurat,21x49,5 nuclei
Seurat,20x50,4 nuclei
Seurat,21x51,4 nuclei
Seurat,20x52,6 nuclei
Seurat,21x53,8 nuclei
Seurat,20x54,8 nuclei
Seurat,21x55,9 nuclei
Seurat,20x56,6 nuclei
Seurat,21x57,10 nuclei
Seurat,20x58,7 nuclei
Seurat,21x59,8 nuclei
Seurat,20x60,11 nuclei
Seurat,21x61,8 nuclei
Seurat,20x62,6 nuclei
Seurat,21x63,9 nuclei
Seurat,20x64,12 nuclei
Seurat,21x65,8 nuclei
Seurat,20x66,8 nuclei
Seurat,21x67,6 nuclei
Seurat,20x68,11 nuclei
Seurat,21x69,9 nuclei
Seurat,20x70,5 nuclei
Seurat,21x71,8 nuclei
Seurat,20x72,11 nuclei
Seurat,21x73,11 nuclei
Seurat,20x74,12 nuclei
Seurat,21x75,7 nuclei
Seurat,20x76,13 nuclei
Seurat,21x77,6 nuclei
Seurat,20x78,9 nuclei
Seurat,21x79,10 nuclei
Seurat,20x80,13 nuclei
Seurat,21x81,10 nuclei
Seurat,20x82,14 nuclei
Seurat,21x83,8 nuclei
Seurat,20x84,11 nuclei
Seurat,21x85,8 nuclei
Seurat,20x86,9 nuclei
Seurat,21x87,8 nuclei
Seurat,20x88,12 nuclei
Seurat,21x89,7 nuclei
Seurat,20x90,13 nuclei
Seurat,21x91,11 nuclei
Seurat,20x92,9 nuclei
Seurat,21x93,8 nuclei
Seurat,20x94,7 nuclei
Seurat,21x95,10 nuclei
Seurat,20x96,10 nuclei
Seurat,21x97,11 nuclei
Seurat,20x98,7 nuclei
Seurat,21x99,12 nuclei
Seurat,20x100,6 nuclei
Seurat,21x101,13 nuclei
Seurat,20x102,12 nuclei
Seurat,21x103,10 nuclei
Seurat,20x104,10 nuclei
Seurat,21x105,12 nuclei
Seurat,20x106,10 nuclei
Seurat,21x107,10 nuclei
Seurat,20x108,14 nuclei
Seurat,21x109,11 nuclei
Seurat,20x110,12 nuclei
Seurat,21x111,10 nuclei
Seurat,20x112,14 nuclei
Seurat,21x113,10 nuclei
Seurat,20x114,12 nuclei
Seurat,21x115,0 nuclei
Seurat,20x116,0 nuclei
Seurat,23x41,8 nuclei
Seurat,23x43,7 nuclei
Seurat,22x44,2 nuclei
Seurat,23x45,11 nuclei
Seurat,22x46,4 nuclei
Seurat,23x47,8 nuclei
Seurat,22x48,9 nuclei
Seurat,23x49,7 nuclei
Seurat,22x50,10 nuclei
Seurat,23x51,6 nuclei
Seurat,22x52,5 nuclei
Seurat,23x53,7 nuclei
Seurat,22x54,7 nuclei
Seurat,23x55,9 nuclei
Seurat,22x56,5 nuclei
Seurat,23x57,9 nuclei
Seurat,22x58,6 nuclei
Seurat,23x59,8 nuclei
Seurat,22x60,6 nuclei
Seurat,23x61,9 nuclei
Seurat,22x62,14 nuclei
Seurat,23x63,8 nuclei
Seurat,22x64,8 nuclei
Seurat,23x65,9 nuclei
Seurat,22x66,11 nuclei
Seurat,23x67,11 nuclei
Seurat,22x68,10 nuclei
Seurat,23x69,12 nuclei
Seurat,22x70,6 nuclei
Seurat,23x71,15 nuclei
Seurat,22x72,9 nuclei
Seurat,23x73,10 nuclei
Seurat,22x74,7 nuclei
Seurat,23x75,8 nuclei
Seurat,22x76,10 nuclei
Seurat,23x77,11 nuclei
Seurat,22x78,10 nuclei
Seurat,23x79,8 nuclei
Seurat,22x80,14 nuclei
Seurat,23x81,10 nuclei
Seurat,22x82,11 nuclei
Seurat,23x83,12 nuclei
Seurat,22x84,9 nuclei
Seurat,23x85,8 nuclei
Seurat,22x86,8 nuclei
Seurat,23x87,2 nuclei
Seurat,22x88,9 nuclei
Seurat,23x89,11 nuclei
Seurat,22x90,7 nuclei
Seurat,23x91,13 nuclei
Seurat,22x92,12 nuclei
Seurat,23x93,8 nuclei
Seurat,22x94,14 nuclei
Seurat,23x95,11 nuclei
Seurat,22x96,8 nuclei
Seurat,23x97,18 nuclei
Seurat,22x98,11 nuclei
Seurat,23x99,13 nuclei
Seurat,22x100,16 nuclei
Seurat,23x101,16 nuclei
Seurat,22x102,14 nuclei
Seurat,23x103,10 nuclei
Seurat,22x104,17 nuclei
Seurat,23x105,13 nuclei
Seurat,22x106,14 nuclei
Seurat,23x107,16 nuclei
Seurat,22x108,11 nuclei
Seurat,23x109,11 nuclei
Seurat,22x110,12 nuclei
Seurat,23x111,11 nuclei
Seurat,22x112,13 nuclei
Seurat,23x113,5 nuclei
Seurat,22x114,17 nuclei
Seurat,23x115,6 nuclei
Seurat,25x35,3 nuclei
Seurat,25x37,2 nuclei
Seurat,24x38,3 nuclei
Seurat,25x39,6 nuclei
Seurat,24x40,5 nuclei
Seurat,25x41,8 nuclei
Seurat,24x42,6 nuclei
Seurat,25x43,9 nuclei
Seurat,24x44,7 nuclei
Seurat,25x45,3 nuclei
Seurat,24x46,8 nuclei
Seurat,25x47,8 nuclei
Seurat,24x48,7 nuclei
Seurat,25x49,8 nuclei
Seurat,24x50,10 nuclei
Seurat,25x51,5 nuclei
Seurat,24x52,6 nuclei
Seurat,25x53,11 nuclei
Seurat,24x54,6 nuclei
Seurat,25x55,11 nuclei
Seurat,24x56,6 nuclei
Seurat,25x57,8 nuclei
Seurat,24x58,10 nuclei
Seurat,25x59,4 nuclei
Seurat,24x60,9 nuclei
Seurat,25x61,10 nuclei
Seurat,24x62,10 nuclei
Seurat,25x63,8 nuclei
Seurat,24x64,7 nuclei
Seurat,25x65,11 nuclei
Seurat,24x66,8 nuclei
Seurat,25x67,8 nuclei
Seurat,24x68,12 nuclei
Seurat,25x69,10 nuclei
Seurat,24x70,8 nuclei
Seurat,25x71,12 nuclei
Seurat,24x72,6 nuclei
Seurat,25x73,13 nuclei
Seurat,24x74,12 nuclei
Seurat,25x75,13 nuclei
Seurat,24x76,11 nuclei
Seurat,25x77,9 nuclei
Seurat,24x78,16 nuclei
Seurat,25x79,7 nuclei
