"","ASC","CPC","DOPA","EC","GABA (all subtypes)","GABA_8","GLUT (all subtypes)","MG","OEG","OLG","VLMC","DT"
"Slc1a3",1,0,0,0,0,0,0,0,0,0,0,0
"Gja1",1,0,0,0,0,0,0,0,0,0,0,0
"Atp1a2",1,0,0,0,0,0,0,0,0,0,0,0
"Atp1b2",1,0,0,0,0,0,0,0,0,0,0,0
"Bcan",1,0,0,0,0,0,0,0,0,0,0,0
"Apoe",1,0,0,0,0,0,0,0,1,0,0,0
"Cst3",1,0,0,0,0,0,0,1,0,0,0,0
"Ttr",0,1,0,0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,1,0,0,0,0,0,0,0,0,0,0
"Calml4",0,1,0,0,0,0,0,0,0,0,0,0
"Kl",0,1,0,0,0,0,0,0,0,0,0,0
"Clic6",0,1,0,0,0,0,0,0,0,0,0,0
"Folr1",0,1,0,0,0,0,0,0,0,0,0,0
"Kcne2",0,1,0,0,0,0,0,0,0,0,0,0
"F5",0,1,0,0,0,0,0,0,0,0,0,0
"Prr32",0,1,0,0,0,0,0,0,0,0,0,0
"Wfdc2",0,1,0,0,0,0,0,0,0,0,0,0
"Slc4a5",0,1,0,0,0,0,0,0,0,0,0,0
"Tmem72",0,1,0,0,0,0,0,0,0,0,0,0
"Trh",0,0,1,0,0,0,0,0,0,0,0,0
"Th",0,0,1,0,0,0,0,0,0,0,0,0
"Lgr5",0,0,1,0,0,0,0,0,0,0,0,0
"Iqsec3",0,0,1,0,0,0,0,0,0,0,0,0
"Adcy8",0,0,1,0,0,0,0,0,0,0,0,0
"Ptpro",0,0,1,0,0,0,0,0,0,0,0,0
"Gad1",0,0,1,0,1,0,0,0,0,0,0,0
"Rcn2",0,0,1,0,0,0,0,0,0,0,0,0
"Nrip3",0,0,1,0,0,0,0,0,0,0,0,0
"Cldn5",0,0,0,1,0,0,0,0,0,0,0,0
"Ly6c1",0,0,0,1,0,0,0,0,0,0,0,0
"Ly6a",0,0,0,1,0,0,0,0,0,0,0,0
"Itm2a",0,0,0,1,0,0,0,0,0,0,0,0
"Bsg",0,0,0,1,0,0,0,0,0,0,0,0
"Slco1a4",0,0,0,1,0,0,0,0,0,0,0,0
"Igfbp7",0,0,0,1,0,0,0,0,0,0,0,0
"Slc2a1",0,0,0,1,0,0,0,0,0,0,0,0
"Vwa1",0,0,0,1,0,0,0,0,0,0,0,0
"Meis2",0,0,0,0,1,0,0,0,0,0,0,0
"Ckb",0,0,0,0,1,0,0,0,0,0,0,0
"Pcp4l1",0,0,0,0,1,0,0,0,0,0,0,0
"Synpr",0,0,0,0,1,0,0,0,0,0,0,0
"Gpsm1",0,0,0,0,1,0,0,0,0,0,0,0
"Slc32a1",0,0,0,0,1,0,0,0,0,0,0,0
"Camk2b",0,0,0,0,1,0,0,0,0,0,0,0
"Tac1",0,0,0,0,0,1,0,0,0,0,0,0
"Gpr88",0,0,0,0,0,1,0,0,0,0,0,0
"Ppp1r1b",0,0,0,0,0,1,0,0,0,0,0,0
"Arpp21",0,0,0,0,0,1,0,0,0,0,0,0
"Pde10a",0,0,0,0,0,1,0,0,0,0,0,0
"Adcy5",0,0,0,0,0,1,0,0,0,0,0,0
"Rgs9",0,0,0,0,0,1,0,0,0,0,0,0
"Tmem158",0,0,0,0,0,1,0,0,0,0,0,0
"Pde1b",0,0,0,0,0,1,0,0,0,0,0,0
"Drd1",0,0,0,0,0,1,0,0,0,0,0,0
"Scn4b",0,0,0,0,0,1,0,0,0,0,0,0
"Gnal",0,0,0,0,0,1,0,0,0,0,0,0
"Ptpn5",0,0,0,0,0,1,0,0,0,0,0,0
"Elmod1",0,0,0,0,0,1,0,0,0,0,0,0
"St8sia3",0,0,0,0,0,1,0,0,0,0,0,0
"Kcnab1",0,0,0,0,0,1,0,0,0,0,0,0
"Syndig1l",0,0,0,0,0,1,0,0,0,0,0,0
"Rasd2",0,0,0,0,0,1,0,0,0,0,0,0
"Tesc",0,0,0,0,0,1,0,0,0,0,0,0
"Lingo3",0,0,0,0,0,1,0,0,0,0,0,0
"Nexn",0,0,0,0,0,1,0,0,0,0,0,0
"Lrrc10b",0,0,0,0,0,1,0,0,0,0,0,0
"Smpd3",0,0,0,0,0,1,0,0,0,0,0,0
"Rarb",0,0,0,0,0,1,0,0,0,0,0,0
"Ido1",0,0,0,0,0,1,0,0,0,0,0,0
"Rxrg",0,0,0,0,0,1,0,0,0,0,0,0
"Ngef",0,0,0,0,0,1,0,0,0,0,0,0
"Rap1gap",0,0,0,0,0,1,0,0,0,0,0,0
"Cck",0,0,0,0,0,0,1,0,0,0,0,0
"Slc17a7",0,0,0,0,0,0,1,0,0,0,0,0
"Nptx1",0,0,0,0,0,0,1,0,0,0,0,0
"Olfm1",0,0,0,0,0,0,1,0,0,0,0,0
"Lingo1",0,0,0,0,0,0,1,0,0,0,0,0
"Sv2b",0,0,0,0,0,0,1,0,0,0,0,0
"3110035E14Rik",0,0,0,0,0,0,1,0,0,0,0,0
"Enc1",0,0,0,0,0,0,1,0,0,0,0,0
"Nrn1",0,0,0,0,0,0,1,0,0,0,0,0
"Dkk3",0,0,0,0,0,0,1,0,0,0,0,0
"Fxyd7",0,0,0,0,0,0,1,0,0,0,0,0
"Nell2",0,0,0,0,0,0,1,0,0,0,0,0
"Lmo4",0,0,0,0,0,0,1,0,0,0,0,0
"Adcy1",0,0,0,0,0,0,1,0,0,0,0,0
"Tbr1",0,0,0,0,0,0,1,0,0,0,0,0
"Zbtb18",0,0,0,0,0,0,1,0,0,0,0,0
"Pde1a",0,0,0,0,0,0,1,0,0,0,0,0
"Osbpl1a",0,0,0,0,0,0,1,0,0,0,0,0
"Miat",0,0,0,0,0,0,1,0,0,0,0,0
"Neurod6",0,0,0,0,0,0,1,0,0,0,0,0
"Rtn4r",0,0,0,0,0,0,1,0,0,0,0,0
"Mpped1",0,0,0,0,0,0,1,0,0,0,0,0
"Neurod2",0,0,0,0,0,0,1,0,0,0,0,0
"Satb2",0,0,0,0,0,0,1,0,0,0,0,0
"Pgm2l1",0,0,0,0,0,0,1,0,0,0,0,0
"Stx1a",0,0,0,0,0,0,1,0,0,0,0,0
"Stmn2",0,0,0,0,0,0,1,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,1,0,0,0,0,0
"Arhgdig",0,0,0,0,0,0,1,0,0,0,0,0
"Scn1b",0,0,0,0,0,0,1,0,0,0,0,0
"Gabbr2",0,0,0,0,0,0,1,0,0,0,0,0
"Gabra1",0,0,0,0,0,0,1,0,0,0,0,0
"Ly6e",0,0,0,0,0,0,1,0,0,0,0,0
"Gm11549",0,0,0,0,0,0,1,0,0,0,0,0
"Mical2",0,0,0,0,0,0,1,0,0,0,0,0
"Vsnl1",0,0,0,0,0,0,1,0,0,0,0,0
"Galnt9",0,0,0,0,0,0,1,0,0,0,0,0
"Fam131a",0,0,0,0,0,0,1,0,0,0,0,0
"Ncald",0,0,0,0,0,0,1,0,0,0,0,0
"Syt13",0,0,0,0,0,0,1,0,0,0,0,0
"Nrgn",0,0,0,0,0,0,1,0,0,0,0,0
"1110008P14Rik",0,0,0,0,0,0,1,0,0,0,0,0
"Tmem178",0,0,0,0,0,0,1,0,0,0,0,0
"Nptxr",0,0,0,0,0,0,1,0,0,0,0,0
"Cyfip2",0,0,0,0,0,0,1,0,0,0,0,0
"Rph3a",0,0,0,0,0,0,1,0,0,0,0,0
"Bsn",0,0,0,0,0,0,1,0,0,0,0,0
"Mapk10",0,0,0,0,0,0,1,0,0,0,0,0
"Rab6a",0,0,0,0,0,0,1,0,0,0,0,0
"Sncb",0,0,0,0,0,0,1,0,0,0,0,0
"Car10",0,0,0,0,0,0,1,0,0,0,0,0
"Khdrbs3",0,0,0,0,0,0,1,0,0,0,0,0
"Herc3",0,0,0,0,0,0,1,0,0,0,0,0
"Stmn1",0,0,0,0,0,0,1,0,0,0,0,0
"Pak1",0,0,0,0,0,0,1,0,0,0,0,0
"Cabp1",0,0,0,0,0,0,1,0,0,0,0,0
"Kalrn",0,0,0,0,0,0,1,0,0,0,0,0
"Gls",0,0,0,0,0,0,1,0,0,0,0,0
"Tuba4a",0,0,0,0,0,0,1,0,0,0,0,0
"Kcnj9",0,0,0,0,0,0,1,0,0,0,0,0
"Fhl2",0,0,0,0,0,0,1,0,0,0,0,0
"Sprn",0,0,0,0,0,0,1,0,0,0,0,0
"Ywhag",0,0,0,0,0,0,1,0,0,0,0,0
"Nrxn1",0,0,0,0,0,0,1,0,0,0,0,0
"Efhd2",0,0,0,0,0,0,1,0,0,0,0,0
"Dnm1",0,0,0,0,0,0,1,0,0,0,0,0
"Hexb",0,0,0,0,0,0,0,1,0,0,0,0
"C1qa",0,0,0,0,0,0,0,1,0,0,0,0
"C1qb",0,0,0,0,0,0,0,1,0,0,0,0
"Ctss",0,0,0,0,0,0,0,1,0,0,0,0
"C1qc",0,0,0,0,0,0,0,1,0,0,0,0
"Selplg",0,0,0,0,0,0,0,1,0,0,0,0
"P2ry12",0,0,0,0,0,0,0,1,0,0,0,0
