coord,cellCount
X102x50,12
X19x59,13
X94x14,8
X9x43,12
X13x47,19
X0x62,3
X97x61,15
X28x42,4
X42x52,8
X83x65,15
X4x58,4
X79x35,13
X91x65,11
X59x67,5
X70x66,11
X113x23,5
X67x45,16
X19x45,5
X105x71,13
X54x62,6
X55x55,7
X62x24,10
X27x51,13
X94x44,12
X96x42,13
X88x14,13
X69x47,10
X106x36,9
X79x53,14
X87x65,14
X5x57,5
X56x44,10
X101x53,14
X111x21,10
X17x49,13
X51x33,6
X58x34,9
X86x14,9
X94x26,11
X33x47,10
X42x28,9
X93x51,12
X21x45,9
X31x29,10
X113x49,15
X99x27,16
X113x17,15
X52x64,7
X113x57,11
X96x40,15
X70x24,8
X92x46,14
X82x62,11
X68x54,14
X92x16,9
X8x58,6
X73x53,12
X76x24,11
X104x20,10
X65x23,9
X94x54,15
X92x50,15
X39x47,11
X42x48,5
X40x24,5
X109x73,10
X74x36,13
X113x47,17
X61x55,11
X44x38,12
X92x60,13
X92x12,4
X93x35,15
X41x53,8
X66x20,8
X114x68,3
X54x60,13
X68x36,8
X77x35,13
X80x36,16
X109x59,8
X39x59,19
X90x26,12
X73x59,11
X69x53,8
X107x49,16
X73x67,7
X35x57,5
X68x50,12
X73x35,16
X81x57,13
X48x28,9
X109x39,6
X87x27,11
X38x24,3
X46x30,6
X92x26,14
X1x59,11
X81x25,12
X92x44,12
X31x33,4
X101x45,13
X3x39,10
X25x41,5
X48x62,8
X104x44,15
X80x52,13
X85x57,14
X104x18,12
X34x46,7
X106x66,13
X70x68,15
X30x36,7
X38x52,3
X100x74,8
X86x48,14
X111x19,9
X57x57,10
X2x46,9
X109x49,13
X101x27,14
X98x54,17
X79x39,12
X109x71,9
X83x67,9
X16x52,13
X110x26,9
X10x38,8
X92x32,13
X15x51,9
X30x48,5
X78x44,14
X47x23,8
X93x23,8
X101x25,19
X59x25,4
X97x19,12
X27x55,10
X108x68,13
X50x40,8
X66x58,14
X5x59,9
X63x51,7
X91x23,13
X58x66,9
X76x66,9
X63x49,8
X83x45,17
X102x64,14
X91x13,10
X4x46,19
X97x63,14
X82x50,9
X84x44,16
X72x32,7
X75x49,12
X37x29,8
X87x61,11
X76x44,13
X32x36,4
X31x57,7
X97x51,13
X82x28,13
X56x24,6
X90x44,15
X16x60,4
X50x24,10
X43x25,9
X111x41,11
X71x31,12
X71x27,8
X110x58,14
X48x52,6
X24x52,13
X99x59,11
X95x69,13
X87x53,8
X39x51,4
X14x46,8
X9x59,4
X63x21,9
X57x55,8
X102x42,18
X62x42,13
X37x41,7
X81x45,13
X61x51,12
X99x73,12
X115x17,22
X110x20,12
X97x65,15
X49x53,11
X106x70,11
X78x56,10
X54x30,7
X107x41,9
X76x48,17
X4x38,3
X94x48,15
X56x38,7
X12x44,13
X42x42,11
X86x30,13
X37x37,7
X100x60,14
X65x57,5
X100x38,16
X48x42,12
X54x58,4
X40x56,14
X99x69,9
X84x48,20
X67x61,6
X66x28,12
X79x71,11
X92x36,14
X79x51,8
X106x44,15
X98x46,16
X15x59,4
X30x50,6
X30x32,5
X113x41,16
X58x68,20
X107x55,14
X112x34,3
X93x71,11
X18x50,11
X80x22,14
X63x25,8
X43x37,6
X47x63,6
X109x25,6
X102x56,15
X61x33,12
X73x17,12
X102x72,13
X71x43,11
X59x49,11
X31x41,3
X62x34,11
X100x28,9
X101x73,8
X75x61,10
X108x18,14
X79x57,11
X60x52,10
X55x53,9
X77x49,13
X11x61,3
X25x47,3
X97x71,13
X67x33,12
X72x70,6
X97x41,19
X6x44,15
X4x52,17
X63x17,3
X69x41,10
X39x39,5
X113x33,16
X44x60,10
X95x65,17
X41x25,8
X56x60,12
X104x50,9
X105x13,13
X108x38,4
X113x53,14
X41x59,16
X86x60,13
X69x25,10
X17x47,4
X104x32,8
X69x57,12
X70x48,16
X90x70,10
X111x67,15
X23x49,7
X78x36,11
X78x42,11
X97x69,11
X70x36,11
X93x57,8
X83x47,13
X70x16,10
X9x53,11
X78x30,11
X39x27,6
X55x33,13
X64x30,13
X78x58,11
X90x36,14
X52x38,12
X90x46,10
X81x51,11
X85x61,15
X75x27,12
X72x42,5
X49x29,7
X10x44,11
X108x52,13
X62x28,10
X13x61,5
X9x61,3
X73x27,14
X88x38,16
X14x52,13
X78x64,7
X28x48,7
X98x32,13
X9x51,11
X65x49,10
X56x26,9
X111x51,13
X17x41,9
X97x49,11
X46x28,6
X88x26,8
X34x58,13
X18x40,10
X112x58,14
X101x51,3
X106x48,12
X44x32,6
X110x64,15
X38x40,3
X82x46,16
X72x64,11
X97x21,11
X75x29,10
X55x21,9
X98x14,14
X24x58,4
X6x48,19
X54x36,11
X13x53,11
X72x60,12
X93x41,4
X65x27,10
X81x53,10
X35x31,6
X68x64,10
X58x56,14
X95x51,18
X19x53,11
X52x22,5
X105x67,14
X58x64,8
X89x63,14
X81x23,10
X26x42,3
X111x73,14
X49x61,5
X103x17,11
X22x50,14
X14x50,12
X55x25,11
X108x64,17
X55x57,9
X92x24,12
X62x62,10
X12x50,13
X66x66,11
X71x45,14
X86x64,8
X99x21,12
X74x16,8
X109x57,13
X86x52,9
X76x38,11
X88x18,16
X107x39,14
X45x41,12
X84x20,11
X28x54,13
X100x68,12
X65x61,7
X85x43,13
X45x43,11
X98x18,10
X98x52,13
X65x53,8
X96x46,12
X95x71,8
X16x48,15
X86x26,14
X49x59,10
X99x49,18
X38x28,7
X25x45,8
X88x62,6
X17x59,8
X112x16,14
X42x50,5
X89x13,6
X110x36,7
X53x55,7
X113x29,8
X20x44,15
X65x35,5
X113x15,7
X97x37,12
X92x34,11
X88x30,15
X63x33,11
X31x35,7
X109x35,6
X20x46,7
X104x26,14
X104x70,12
X74x22,7
X67x41,11
X107x71,15
X77x71,11
X109x29,7
X79x25,7
X88x56,10
X98x16,14
X52x58,6
X47x41,6
X90x48,10
X99x55,15
X100x42,15
X93x17,11
X90x38,15
X39x25,6
X23x47,4
X112x40,13
X81x65,12
X91x57,12
X29x51,6
X111x29,10
X30x54,5
X66x24,8
X77x67,15
X102x44,12
X52x44,11
X87x35,15
X103x29,7
X109x67,13
X89x59,13
X49x45,8
X87x33,12
X96x52,13
X42x46,10
X91x61,13
X89x41,10
X95x73,9
X94x24,13
X86x62,15
X9x47,16
X95x17,12
X44x40,9
X80x16,11
X25x51,14
X89x15,13
X50x30,11
X65x43,10
X63x65,12
X106x68,13
X74x58,12
X102x48,13
X31x47,6
X61x47,14
X107x57,20
X50x34,11
X28x38,3
X81x35,18
X75x25,13
X72x50,9
X103x27,11
X108x36,7
X63x47,9
X77x61,10
X64x64,9
X72x56,8
X29x35,7
X115x15,4
X64x58,13
X78x40,11
X22x56,11
X82x22,11
X77x55,12
X93x47,15
X63x63,9
X105x59,16
X61x21,8
X84x58,8
X92x28,14
X45x33,3
X48x26,10
X93x27,9
X98x62,12
X114x72,5
X33x43,4
X97x25,17
X71x21,8
X64x28,12
X57x41,4
X102x38,15
X68x58,10
X74x54,11
X94x66,13
X1x49,18
X108x62,20
X11x63,4
X105x37,8
X6x56,3
X110x38,3
X92x58,12
X87x19,17
X61x35,11
X97x35,11
X40x44,7
X77x51,12
X55x31,8
X107x47,11
X33x49,4
X65x33,10
X19x61,7
X82x20,14
X36x46,4
X67x21,6
X42x44,12
X87x57,8
X15x49,12
X106x62,18
X59x39,7
X1x63,3
X27x43,7
X72x62,12
X52x50,12
X46x40,9
X14x62,5
X48x44,11
X47x45,10
X63x43,14
X61x23,9
X57x25,8
X105x45,10
X111x23,11
X76x52,8
X96x20,10
X98x58,11
X67x55,10
X88x70,10
X65x67,12
X108x60,14
X101x29,6
X57x67,18
X69x61,13
X76x26,10
X104x64,14
X44x26,9
X108x30,10
X46x22,4
X30x52,5
X88x48,15
X35x25,3
X50x44,7
X45x27,7
X65x25,11
X105x15,13
X91x43,11
X75x31,14
X83x19,11
X109x13,13
X71x35,11
X104x48,17
X76x60,12
X112x56,18
X7x53,17
X66x36,8
X79x19,7
X61x27,10
X91x45,14
X85x45,17
X112x32,18
X112x64,18
X64x66,12
X72x68,7
X22x46,8
X57x23,9
X71x47,14
X92x68,8
X59x43,7
X66x22,11
X79x23,8
X108x50,4
X100x22,16
X105x25,14
X71x37,14
X78x18,8
X53x21,8
X37x59,10
X97x67,14
X100x58,7
X68x56,12
X98x20,7
X60x46,11
X89x61,9
X0x60,10
X107x15,9
X26x36,4
X107x65,13
X110x42,13
X49x31,9
X114x20,12
X8x52,17
X99x33,15
X84x64,7
X99x51,11
X43x35,6
X102x54,13
X106x72,12
X103x35,16
X85x15,7
X109x11,13
X38x30,9
X111x31,11
X31x53,3
X84x40,12
X71x19,11
X70x70,7
X47x47,10
X40x30,9
X111x45,16
X30x56,7
X24x44,4
X53x45,8
X103x61,14
X50x20,4
X113x55,15
X79x15,4
X55x59,6
X74x46,16
X89x45,11
X38x32,6
X66x18,7
X72x54,12
X68x40,9
X100x66,14
X110x34,5
X94x40,20
X74x26,7
X40x54,7
X88x12,7
X82x54,15
X86x28,15
X65x29,6
X4x56,3
X63x37,4
X112x14,12
X50x42,6
X103x55,15
X89x33,10
X59x31,10
X60x20,11
X97x57,15
X60x62,6
X112x60,16
X114x54,7
X73x47,14
X75x57,12
X64x38,13
X90x18,8
X108x44,15
X22x60,5
X114x12,10
X86x20,9
X80x56,12
X16x50,12
X59x27,9
X104x16,14
X94x72,7
X104x52,14
X37x53,8
X72x20,11
X70x18,9
X84x24,11
X29x33,6
X72x24,6
X43x31,8
X98x42,13
X103x15,13
X37x49,4
X81x37,13
X91x55,14
X51x35,8
X107x59,11
X57x39,10
X36x56,11
X87x15,11
X74x48,11
X101x59,13
X51x65,5
X48x34,8
X85x53,16
X111x55,8
X51x53,11
X99x31,9
X50x50,9
X57x51,14
X70x26,17
X48x54,9
X102x66,15
X46x26,6
X108x22,11
X2x52,17
X78x28,14
X100x50,13
X74x62,12
X77x23,11
X95x15,15
X43x53,6
X59x33,13
X90x28,12
X22x48,13
X28x32,9
X60x44,8
X85x65,13
X43x39,8
X28x56,15
X73x49,9
X101x19,11
X102x20,12
X18x48,14
X91x25,13
X99x25,14
X3x45,11
X66x42,13
X83x25,9
X92x52,16
X51x29,7
X94x36,12
X72x58,13
X14x42,20
X55x61,13
X31x37,5
X63x39,9
X48x36,9
X113x37,13
X87x69,10
X42x54,6
X77x15,5
X93x65,13
X102x18,9
X55x43,9
X94x52,12
X92x54,12
X58x42,8
X100x18,13
X99x37,16
X106x40,7
X79x59,11
X69x21,9
X103x45,10
X21x43,4
X98x26,19
X101x55,10
X82x56,9
X85x21,8
X73x45,16
X7x59,6
X66x26,8
X103x69,11
X90x54,17
X111x15,12
X85x49,16
X101x71,14
X65x19,8
X52x26,9
X115x25,3
X85x25,12
X48x50,6
X48x22,9
X113x51,13
X37x31,7
X52x52,6
X62x20,6
X71x33,8
X109x69,14
X42x34,6
X84x14,6
X49x37,13
X93x19,10
X85x29,13
X49x39,9
X92x48,13
X40x52,5
X75x37,9
X109x41,8
X75x17,10
X27x47,8
X107x35,8
X80x72,10
X106x58,16
X84x28,13
X65x37,12
X65x63,5
X53x27,9
X91x27,8
X8x42,14
X86x24,7
X59x59,11
X89x73,4
X5x51,12
X4x60,5
X62x18,9
X103x53,15
X62x50,9
X98x38,17
X98x56,12
X53x35,6
X42x32,5
X39x33,4
X71x55,11
X88x34,15
X35x43,7
X96x68,10
X33x39,7
X3x49,14
X105x21,12
X111x53,20
X12x52,13
X82x42,15
X11x45,15
X74x20,12
X108x48,18
X67x49,13
X57x65,3
X17x53,17
X28x40,4
X51x23,6
X4x44,12
X106x52,14
X86x70,8
X3x47,14
X24x60,13
X106x50,10
X39x31,6
X19x41,9
X5x47,12
X109x63,9
X56x50,7
X18x44,5
X71x49,13
X5x61,4
X111x57,9
X26x54,16
X97x13,9
X112x46,18
X112x18,10
X101x37,12
X76x36,16
X107x69,14
X66x56,8
X12x54,4
X97x15,9
X7x43,14
X9x39,6
X3x63,5
X45x51,7
X63x45,10
X69x71,6
X99x63,11
X35x47,6
X113x27,8
X56x58,11
X111x35,9
X2x58,4
X11x47,14
X76x32,7
X86x36,14
X32x38,8
X42x56,17
X77x33,5
X96x60,14
X104x60,12
X27x53,8
X111x17,8
X106x24,16
X36x48,8
X88x20,12
X82x14,7
X68x42,13
X114x52,8
X89x49,15
X93x21,8
X49x27,12
X88x36,11
X11x51,14
X81x55,16
X10x60,11
X52x62,3
X77x19,12
X111x37,4
X69x29,14
X68x68,11
X92x62,9
X0x52,7
X102x28,10
X97x27,12
X33x33,7
X8x38,11
X96x62,9
X74x18,10
X95x21,10
X59x57,10
X85x41,12
X73x23,10
X26x52,14
X36x34,8
X75x15,4
X61x53,10
X85x37,14
X71x23,15
X61x45,14
X50x26,6
X113x39,12
X43x29,12
X69x59,12
X41x37,3
X67x29,15
X114x36,11
X62x36,7
X94x58,15
X47x61,3
X61x69,9
X15x43,17
X73x19,10
X109x55,12
X50x58,8
X95x25,14
X6x58,12
X33x41,11
X96x50,13
X49x49,8
X15x47,11
X105x19,13
X35x33,6
X22x62,3
X57x63,12
X95x43,14
X94x46,13
X42x36,6
X12x48,16
X0x46,17
X10x50,11
X89x23,11
X109x33,9
X61x43,13
X98x72,10
X73x29,9
X7x45,12
X88x64,15
X104x56,12
X67x17,12
X71x29,16
X78x38,13
X60x64,12
X35x45,9
X29x55,7
X85x27,7
X93x37,11
X48x40,8
X88x66,14
X50x38,10
X24x46,12
X96x22,8
X12x58,11
X62x56,9
X73x57,11
X37x27,5
X44x28,9
X87x39,13
X99x39,14
X113x25,7
X102x52,11
X89x67,15
X66x40,11
X57x27,10
X9x49,9
X80x24,10
X51x59,6
X89x65,13
X80x18,9
X83x39,15
X104x58,14
X73x43,13
X27x41,7
X96x64,13
X81x59,11
X108x16,14
X20x52,13
X24x56,16
X54x50,14
X75x21,7
X97x43,13
X80x28,11
X84x72,5
X106x18,13
X51x27,8
X48x38,13
X101x39,14
X60x38,6
X37x33,6
X98x48,17
X47x25,8
