image name, spot coordinates, no of nuclei
P1.1,10x10,74 nuclei
P1.1,10x11,41 nuclei
P1.1,10x12,56 nuclei
P1.1,10x13,73 nuclei
P1.1,10x15,55 nuclei
P1.1,10x16,53 nuclei
P1.1,10x17,43 nuclei
P1.1,10x18,56 nuclei
P1.1,10x19,59 nuclei
P1.1,10x2,59 nuclei
P1.1,10x20,79 nuclei
P1.1,10x21,51 nuclei
P1.1,10x22,0 nuclei
P1.1,10x3,38 nuclei
P1.1,10x4,143 nuclei
P1.1,10x5,29 nuclei
P1.1,10x6,55 nuclei
P1.1,10x7,162 nuclei
P1.1,10x8,71 nuclei
P1.1,10x9,36 nuclei
P1.1,11x10,57 nuclei
P1.1,11x11,89 nuclei
P1.1,11x12,80 nuclei
P1.1,11x13,82 nuclei
P1.1,11x14,46 nuclei
P1.1,11x15,126 nuclei
P1.1,11x16,55 nuclei
P1.1,11x17,68 nuclei
P1.1,11x18,66 nuclei
P1.1,11x19,89 nuclei
P1.1,11x2,46 nuclei
P1.1,11x20,66 nuclei
P1.1,11x21,63 nuclei
P1.1,11x22,17 nuclei
P1.1,11x3,43 nuclei
P1.1,11x4,54 nuclei
P1.1,11x5,36 nuclei
P1.1,11x6,53 nuclei
P1.1,11x7,36 nuclei
P1.1,11x8,82 nuclei
P1.1,11x9,50 nuclei
P1.1,12x10,85 nuclei
P1.1,12x11,67 nuclei
P1.1,12x12,0 nuclei
P1.1,12x13,0 nuclei
P1.1,12x14,13 nuclei
P1.1,12x15,78 nuclei
P1.1,12x16,39 nuclei
P1.1,12x17,100 nuclei
P1.1,12x18,71 nuclei
P1.1,12x19,100 nuclei
P1.1,12x2,45 nuclei
P1.1,12x20,48 nuclei
P1.1,12x21,73 nuclei
P1.1,12x22,32 nuclei
P1.1,12x3,46 nuclei
P1.1,12x4,38 nuclei
P1.1,12x5,38 nuclei
P1.1,12x6,55 nuclei
P1.1,12x7,91 nuclei
P1.1,12x8,66 nuclei
P1.1,12x9,51 nuclei
P1.1,13x10,65 nuclei
P1.1,13x11,67 nuclei
P1.1,13x14,0 nuclei
P1.1,13x15,114 nuclei
P1.1,13x16,80 nuclei
P1.1,13x17,11 nuclei
P1.1,13x18,109 nuclei
P1.1,13x19,63 nuclei
P1.1,13x2,52 nuclei
P1.1,13x20,84 nuclei
P1.1,13x21,95 nuclei
P1.1,13x22,0 nuclei
P1.1,13x3,32 nuclei
P1.1,13x4,59 nuclei
P1.1,13x5,48 nuclei
P1.1,13x6,53 nuclei
P1.1,13x7,47 nuclei
P1.1,13x8,49 nuclei
P1.1,13x9,85 nuclei
P1.1,14x10,101 nuclei
P1.1,14x11,46 nuclei
P1.1,14x15,57 nuclei
P1.1,14x16,87 nuclei
P1.1,14x17,88 nuclei
P1.1,14x18,61 nuclei
P1.1,14x19,70 nuclei
P1.1,14x2,105 nuclei
P1.1,14x20,54 nuclei
P1.1,14x21,0 nuclei
P1.1,14x22,0 nuclei
P1.1,14x3,51 nuclei
P1.1,14x4,29 nuclei
P1.1,14x5,57 nuclei
P1.1,14x6,51 nuclei
P1.1,14x7,85 nuclei
P1.1,14x8,82 nuclei
P1.1,14x9,79 nuclei
P1.1,15x10,88 nuclei
P1.1,15x16,132 nuclei
P1.1,15x17,73 nuclei
P1.1,15x18,55 nuclei
P1.1,15x19,48 nuclei
P1.1,15x2,124 nuclei
P1.1,15x20,31 nuclei
P1.1,15x21,32 nuclei
P1.1,15x4,95 nuclei
P1.1,15x5,49 nuclei
P1.1,15x6,68 nuclei
P1.1,15x7,90 nuclei
P1.1,15x8,41 nuclei
P1.1,15x9,0 nuclei
P1.1,16x10,53 nuclei
P1.1,16x11,0 nuclei
P1.1,16x12,58 nuclei
P1.1,16x15,0 nuclei
P1.1,16x16,93 nuclei
P1.1,16x17,108 nuclei
P1.1,16x18,77 nuclei
P1.1,16x19,53 nuclei
P1.1,16x2,46 nuclei
P1.1,16x20,33 nuclei
P1.1,16x21,23 nuclei
P1.1,16x22,51 nuclei
P1.1,16x3,70 nuclei
P1.1,16x4,45 nuclei
P1.1,16x5,38 nuclei
P1.1,16x6,61 nuclei
P1.1,16x7,59 nuclei
P1.1,16x8,1 nucleus
P1.1,17x10,65 nuclei
P1.1,17x11,49 nuclei
P1.1,17x12,54 nuclei
P1.1,17x13,36 nuclei
P1.1,17x14,0 nuclei
P1.1,17x15,73 nuclei
P1.1,17x16,61 nuclei
P1.1,17x17,57 nuclei
P1.1,17x18,42 nuclei
P1.1,17x19,45 nuclei
P1.1,17x2,53 nuclei
P1.1,17x20,26 nuclei
P1.1,17x21,68 nuclei
P1.1,17x22,35 nuclei
P1.1,17x23,0 nuclei
P1.1,17x3,78 nuclei
P1.1,17x4,57 nuclei
P1.1,17x5,47 nuclei
P1.1,17x6,80 nuclei
P1.1,17x7,63 nuclei
P1.1,18x11,1 nucleus
P1.1,18x12,79 nuclei
P1.1,18x13,42 nuclei
P1.1,18x14,41 nuclei
P1.1,18x15,62 nuclei
P1.1,18x16,41 nuclei
P1.1,18x17,67 nuclei
P1.1,18x18,42 nuclei
P1.1,18x19,61 nuclei
P1.1,18x2,65 nuclei
P1.1,18x20,36 nuclei
P1.1,18x21,40 nuclei
P1.1,18x22,15 nuclei
P1.1,18x3,29 nuclei
P1.1,18x4,79 nuclei
P1.1,18x5,63 nuclei
P1.1,18x6,75 nuclei
P1.1,18x7,64 nuclei
P1.1,19x11,20 nuclei
P1.1,19x12,68 nuclei
P1.1,19x13,60 nuclei
P1.1,19x14,28 nuclei
P1.1,19x15,64 nuclei
P1.1,19x16,66 nuclei
P1.1,19x17,26 nuclei
P1.1,19x18,63 nuclei
P1.1,19x19,27 nuclei
P1.1,19x2,79 nuclei
P1.1,19x20,39 nuclei
P1.1,19x22,12 nuclei
P1.1,19x3,8 nuclei
P1.1,19x4,78 nuclei
P1.1,19x5,45 nuclei
P1.1,19x6,99 nuclei
P1.1,19x7,18 nuclei
P1.1,20x10,26 nuclei
P1.1,20x11,48 nuclei
P1.1,20x12,54 nuclei
P1.1,20x13,54 nuclei
P1.1,20x14,49 nuclei
P1.1,20x15,84 nuclei
P1.1,20x16,41 nuclei
P1.1,20x17,39 nuclei
P1.1,20x18,43 nuclei
P1.1,20x19,59 nuclei
P1.1,20x2,106 nuclei
P1.1,20x20,11 nuclei
P1.1,20x21,17 nuclei
P1.1,20x3,91 nuclei
P1.1,20x4,48 nuclei
P1.1,20x5,1 nucleus
P1.1,20x6,14 nuclei
P1.1,20x7,6 nuclei
P1.1,20x8,2 nuclei
P1.1,21x10,52 nuclei
P1.1,21x11,59 nuclei
P1.1,21x12,63 nuclei
P1.1,21x13,51 nuclei
P1.1,21x14,61 nuclei
P1.1,21x15,61 nuclei
