"spotId","cellCount"
"50x102",12
"59x19",13
"14x94",8
"43x9",12
"47x13",19
"62x0",3
"61x97",15
"42x28",4
"52x42",8
"65x83",15
"58x4",4
"35x79",13
"65x91",11
"67x59",5
"66x70",11
"23x113",5
"45x67",16
"45x19",5
"71x105",13
"62x54",6
"55x55",7
"24x62",10
"51x27",13
"44x94",12
"42x96",13
"14x88",13
"47x69",10
"36x106",9
"53x79",14
"65x87",14
"57x5",5
"44x56",10
"53x101",14
"21x111",10
"49x17",13
"33x51",6
"34x58",9
"14x86",9
"26x94",11
"47x33",10
"28x42",9
"51x93",12
"45x21",9
"29x31",10
"49x113",15
"27x99",16
"17x113",15
"64x52",7
"57x113",11
"40x96",15
"24x70",8
"46x92",14
"62x82",11
"54x68",14
"16x92",9
"58x8",6
"53x73",12
"24x76",11
"20x104",10
"23x65",9
"54x94",15
"50x92",15
"47x39",11
"48x42",5
"24x40",5
"73x109",10
"36x74",13
"47x113",17
"55x61",11
"38x44",12
"60x92",13
"12x92",4
"35x93",15
"53x41",8
"20x66",8
"68x114",3
"60x54",13
"36x68",8
"35x77",13
"36x80",16
"59x109",8
"59x39",19
"26x90",12
"59x73",11
"53x69",8
"49x107",16
"67x73",7
"57x35",5
"50x68",12
"35x73",16
"57x81",13
"28x48",9
"39x109",6
"27x87",11
"24x38",3
"30x46",6
"26x92",14
"59x1",11
"25x81",12
"44x92",12
"33x31",4
"45x101",13
"39x3",10
"41x25",5
"62x48",8
"44x104",15
"52x80",13
"57x85",14
"18x104",12
"46x34",7
"66x106",13
"68x70",15
"36x30",7
"52x38",3
"74x100",8
"48x86",14
"19x111",9
"57x57",10
"46x2",9
"49x109",13
"27x101",14
"54x98",17
"39x79",12
"71x109",9
"67x83",9
"52x16",13
"26x110",9
"38x10",8
"32x92",13
"51x15",9
"48x30",5
"44x78",14
"23x47",8
"23x93",8
"25x101",19
"25x59",4
"19x97",12
"55x27",10
"68x108",13
"40x50",8
"58x66",14
"59x5",9
"51x63",7
"23x91",13
"66x58",9
"66x76",9
"49x63",8
"45x83",17
"64x102",14
"13x91",10
"46x4",19
"63x97",14
"50x82",9
"44x84",16
"32x72",7
"49x75",12
"29x37",8
"61x87",11
"44x76",13
"36x32",4
"57x31",7
"51x97",13
"28x82",13
"24x56",6
"44x90",15
"60x16",4
"24x50",10
"25x43",9
"41x111",11
"31x71",12
"27x71",8
"58x110",14
"52x48",6
"52x24",13
"59x99",11
"69x95",13
"53x87",8
"51x39",4
"46x14",8
"59x9",4
"21x63",9
"55x57",8
"42x102",18
"42x62",13
"41x37",7
"45x81",13
"51x61",12
"73x99",12
"17x115",22
"20x110",12
"65x97",15
"53x49",11
"70x106",11
"56x78",10
"30x54",7
"41x107",9
"48x76",17
"38x4",3
"48x94",15
"38x56",7
"44x12",13
"42x42",11
"30x86",13
"37x37",7
"60x100",14
"57x65",5
"38x100",16
"42x48",12
"58x54",4
"56x40",14
"69x99",9
"48x84",20
"61x67",6
"28x66",12
"71x79",11
"36x92",14
"51x79",8
"44x106",15
"46x98",16
"59x15",4
"50x30",6
