"","T1","T2","T3","T4","DT"
"Ttr",1,0,0,0,0
"1500015O10Rik",1,0,0,0,0
"Calml4",1,0,0,0,0
"Kl",1,0,0,0,0
"Clic6",1,0,0,0,0
"Msx1",1,0,0,0,0
"Folr1",1,0,0,0,0
"Krt18",1,0,0,0,0
"Kcne2",1,0,0,0,0
"Kcnj13",1,0,0,0,0
"F5",1,0,0,0,0
"Smim22",1,0,0,0,0
"Ace",1,0,0,0,0
"Prr32",1,0,0,0,0
"Wfdc2",1,0,0,0,0
"Slc29a4",1,0,0,0,0
"Car12",1,0,0,0,0
"Slc13a4",1,0,0,0,0
"Slc4a5",1,0,0,0,0
"Col8a1",1,0,0,0,0
"Tmem72",1,0,0,0,0
"Lbp",1,0,0,0,0
"Cldn2",1,0,0,0,0
"Trpv4",1,0,0,0,0
"Slc17a7",0,1,0,0,0
"Cck",0,1,0,0,0
"Nrn1",0,1,0,0,0
"Tbr1",0,1,0,0,0
"Rtn4r",0,1,0,0,0
"3110035E14Rik",0,1,0,0,0
"Satb2",0,1,0,0,0
"Garnl3",0,1,0,0,0
"Galnt9",0,1,0,0,0
"Penk",0,0,1,0,0
"Dach1",0,0,1,0,0
"Drd1",0,0,1,0,0
"Rasgrp2",0,0,1,0,0
"Actn2",0,0,1,0,0
"Rxrg",0,0,1,0,0
"Gpr88",0,0,1,0,0
"Cldn11",0,0,0,1,0
"Mal",0,0,0,1,0
"Trf",0,0,0,1,0
"Opalin",0,0,0,1,0
"Ermn",0,0,0,1,0
"Mog",0,0,0,1,0
"Gatm",0,0,0,1,0
"Ppp1r14a",0,0,0,1,0
"Qdpr",0,0,0,1,0
"Csrp1",0,0,0,1,0
"Pllp",0,0,0,1,0
"Ndrg1",0,0,0,1,0
"Plekhb1",0,0,0,1,0
