"","spotId","cellCount"
"833","35x79",13
"1400","44x94",12
"1286","42x96",13
"479","26x94",11
"484","27x99",16
"1171","40x96",15
"1513","46x92",14
"376","24x76",11
"925","36x74",13
"847","35x93",15
"831","35x77",13
"931","36x80",16
"475","26x90",12
"827","35x73",16
"472","27x87",11
"477","26x92",14
"381","25x81",12
"1398","44x92",12
"1407","45x101",13
"1622","48x86",14
"486","27x101",14
"1038","39x79",12
"751","32x92",13
"1384","44x78",14
"313","23x93",8
"401","25x101",19
"311","23x91",13
"1389","45x83",17
"1390","44x84",16
"731","32x72",7
"1611","49x75",12
"1382","44x76",13
"557","28x82",13
"1396","44x90",15
"637","31x71",12
"456","27x71",8
"1387","45x81",13
"1612","48x76",17
"1630","48x94",15
"652","30x86",13
"1059","38x100",16
"1620","48x84",20
"943","36x92",14
"1519","46x98",16
"300","22x80",14
"1261","43x71",11
"575","28x100",9
"1613","49x77",13
"1172","41x97",19
"929","36x78",11
"1268","42x78",11
"1504","47x83",13
"644","30x78",11
"941","36x90",14
"1511","46x90",10
"460","27x75",12
"1262","42x72",5
"458","27x73",14
"1047","38x88",16
"757","32x98",13
"1633","49x97",11
"473","26x88",8
"1503","46x82",16
"242","21x97",11
"550","29x75",10
"1168","41x93",4
"301","23x81",10
"392","24x92",12
"1377","45x71",14
"244","21x99",12
"1035","38x76",11
"1275","43x85",13
"1517","46x96",12
"471","26x86",14
"1635","49x99",18
"948","37x97",12
"846","34x92",11
"654","30x88",15
"294","22x74",7
"379","25x79",7
"1626","48x90",10
"1290","42x100",15
"1049","38x90",15
"841","35x87",15
"746","33x87",12
"1164","41x89",10
"394","24x94",13
"835","35x81",18
"375","25x75",13
"1153","40x78",11
"302","22x82",11
"1514","47x93",15
"567","28x92",14
"478","27x93",9
"397","25x97",17
"216","21x71",8
"851","35x97",11
"307","23x87",2
"576","29x101",6
"461","26x76",10
"1624","48x88",15
"1281","43x91",11
"641","31x75",14
"825","35x71",11
"1397","45x91",14
"1391","45x85",17
"1492","47x71",14
"299","23x79",8
"320","22x100",16
"922","37x71",14
"758","33x99",15
"1159","40x84",12
"1495","46x74",16
"1395","45x89",11
"1169","40x94",20
"459","26x74",7
"561","28x86",15
"748","33x89",10
"1494","47x73",14
"384","24x84",11
"372","24x72",6
"1288","42x98",13
"932","37x81",13
"1610","48x74",11
"665","31x99",9
"553","28x78",14
"297","23x77",11
"565","28x90",12
"1609","49x73",9
"391","25x91",13
"399","25x99",14
"383","25x83",9
"945","36x94",12
"950","37x99",16
"483","26x98",19
"230","21x85",8
"1379","45x73",16
"1621","49x85",16
"385","25x85",12
"730","33x71",8
"560","29x85",13
"1628","48x92",13
"926","37x75",9
"559","28x84",13
"476","27x91",8
